"category","filename","series","source","crop","resolution"
"packs","ascended-heroes.jpg","Ascended Heroes","codex-clipboard-4fcd4089-8aa7-4cc6-98ec-26b3a74a34be.png","230,148,198,361","198x361"
"packs","chaos-rising.jpg","Chaos Rising","codex-clipboard-610f288d-6535-431d-8d75-55ea96a0ff76.png","219,58,196,360","196x360"
"packs","phantasmal-flames.jpg","Phantasmal Flames","codex-clipboard-ee5d1066-1d12-4a3e-b10e-563550cc5ef7.png","205,112,198,361","198x361"
"packs","mega-evolutions.jpg","Mega Evolutions","codex-clipboard-9124f40f-8a33-48da-9f34-4d67add6dd56.png","301,111,198,362","198x362"
"packs","black-bolt.jpg","Black Bolt","codex-clipboard-eb5aab05-a339-40c9-b297-1f77cb6138aa.png","204,124,198,360","198x360"
"packs","perfect-order.jpg","Perfect Order","codex-clipboard-610f288d-6535-431d-8d75-55ea96a0ff76.png","386,589,74,132","74x132"
"packs","white-flare.jpg","White Flare","codex-clipboard-610f288d-6535-431d-8d75-55ea96a0ff76.png","1216,589,75,132","75x132"
"packs","destined-rivals.jpg","Destined Rivals","codex-clipboard-610f288d-6535-431d-8d75-55ea96a0ff76.png","1383,589,74,132","74x132"
"packs","prismatic-evolutions.jpg","Prismatic Evolutions","codex-clipboard-610f288d-6535-431d-8d75-55ea96a0ff76.png","1549,589,75,132","75x132"
"cards\ascended-heroes","card-01.jpg","Ascended Heroes","codex-clipboard-4fcd4089-8aa7-4cc6-98ec-26b3a74a34be.png","467,243,132,192","132x192"
"cards\ascended-heroes","card-02.jpg","Ascended Heroes","codex-clipboard-4fcd4089-8aa7-4cc6-98ec-26b3a74a34be.png","615,243,133,192","133x192"
"cards\ascended-heroes","card-03.jpg","Ascended Heroes","codex-clipboard-4fcd4089-8aa7-4cc6-98ec-26b3a74a34be.png","762,243,133,192","133x192"
"cards\ascended-heroes","card-04.jpg","Ascended Heroes","codex-clipboard-4fcd4089-8aa7-4cc6-98ec-26b3a74a34be.png","909,243,133,192","133x192"
"cards\ascended-heroes","card-05.jpg","Ascended Heroes","codex-clipboard-4fcd4089-8aa7-4cc6-98ec-26b3a74a34be.png","1056,243,133,192","133x192"
"cards\ascended-heroes","card-06.jpg","Ascended Heroes","codex-clipboard-4fcd4089-8aa7-4cc6-98ec-26b3a74a34be.png","1203,243,133,192","133x192"
"cards\chaos-rising","card-01.jpg","Chaos Rising","codex-clipboard-610f288d-6535-431d-8d75-55ea96a0ff76.png","456,152,136,192","136x192"
"cards\chaos-rising","card-02.jpg","Chaos Rising","codex-clipboard-610f288d-6535-431d-8d75-55ea96a0ff76.png","603,152,135,192","135x192"
"cards\chaos-rising","card-03.jpg","Chaos Rising","codex-clipboard-610f288d-6535-431d-8d75-55ea96a0ff76.png","748,152,136,192","136x192"
"cards\chaos-rising","card-04.jpg","Chaos Rising","codex-clipboard-610f288d-6535-431d-8d75-55ea96a0ff76.png","895,152,136,192","136x192"
"cards\chaos-rising","card-05.jpg","Chaos Rising","codex-clipboard-610f288d-6535-431d-8d75-55ea96a0ff76.png","1042,152,136,192","136x192"
"cards\chaos-rising","card-06.jpg","Chaos Rising","codex-clipboard-610f288d-6535-431d-8d75-55ea96a0ff76.png","1189,152,136,192","136x192"
"cards\phantasmal-flames","card-01.jpg","Phantasmal Flames","codex-clipboard-ee5d1066-1d12-4a3e-b10e-563550cc5ef7.png","443,207,136,192","136x192"
"cards\phantasmal-flames","card-02.jpg","Phantasmal Flames","codex-clipboard-ee5d1066-1d12-4a3e-b10e-563550cc5ef7.png","589,207,136,192","136x192"
"cards\phantasmal-flames","card-03.jpg","Phantasmal Flames","codex-clipboard-ee5d1066-1d12-4a3e-b10e-563550cc5ef7.png","736,207,136,192","136x192"
"cards\phantasmal-flames","card-04.jpg","Phantasmal Flames","codex-clipboard-ee5d1066-1d12-4a3e-b10e-563550cc5ef7.png","883,207,136,192","136x192"
"cards\phantasmal-flames","card-05.jpg","Phantasmal Flames","codex-clipboard-ee5d1066-1d12-4a3e-b10e-563550cc5ef7.png","1030,207,136,192","136x192"
"cards\phantasmal-flames","card-06.jpg","Phantasmal Flames","codex-clipboard-ee5d1066-1d12-4a3e-b10e-563550cc5ef7.png","1177,207,136,192","136x192"
"cards\mega-evolutions","card-01.jpg","Mega Evolutions","codex-clipboard-9124f40f-8a33-48da-9f34-4d67add6dd56.png","538,207,136,192","136x192"
"cards\mega-evolutions","card-02.jpg","Mega Evolutions","codex-clipboard-9124f40f-8a33-48da-9f34-4d67add6dd56.png","685,207,136,192","136x192"
"cards\mega-evolutions","card-03.jpg","Mega Evolutions","codex-clipboard-9124f40f-8a33-48da-9f34-4d67add6dd56.png","832,207,136,192","136x192"
"cards\mega-evolutions","card-04.jpg","Mega Evolutions","codex-clipboard-9124f40f-8a33-48da-9f34-4d67add6dd56.png","979,207,136,192","136x192"
"cards\mega-evolutions","card-05.jpg","Mega Evolutions","codex-clipboard-9124f40f-8a33-48da-9f34-4d67add6dd56.png","1126,207,136,192","136x192"
"cards\mega-evolutions","card-06.jpg","Mega Evolutions","codex-clipboard-9124f40f-8a33-48da-9f34-4d67add6dd56.png","1273,207,136,192","136x192"
"cards\black-bolt","card-01.jpg","Black Bolt","codex-clipboard-eb5aab05-a339-40c9-b297-1f77cb6138aa.png","441,220,136,190","136x190"
"cards\black-bolt","card-02.jpg","Black Bolt","codex-clipboard-eb5aab05-a339-40c9-b297-1f77cb6138aa.png","588,220,136,190","136x190"
"cards\black-bolt","card-03.jpg","Black Bolt","codex-clipboard-eb5aab05-a339-40c9-b297-1f77cb6138aa.png","735,220,136,190","136x190"
"cards\black-bolt","card-04.jpg","Black Bolt","codex-clipboard-eb5aab05-a339-40c9-b297-1f77cb6138aa.png","882,220,136,190","136x190"
"cards\black-bolt","card-05.jpg","Black Bolt","codex-clipboard-eb5aab05-a339-40c9-b297-1f77cb6138aa.png","1029,220,136,190","136x190"
"cards\black-bolt","card-06.jpg","Black Bolt","codex-clipboard-eb5aab05-a339-40c9-b297-1f77cb6138aa.png","1176,220,136,190","136x190"
